Bądzsława
Biedziesława
Biecsława
Biecława
Biezdziadka
Bogdała
Bogdana
Bogna
Boguchwała
Bogufała
Bogudać
Bogudarz
Bogodarz
Bogumiła
Bogmiła
Bogusława
Boguwłość
Bogowłość
Boguwola
Bohuwola
Bolemira
Bolesława
Bosława
Bożeciecha
Bożena
Bratumiła
Bratomiła
Bratmiła
Bronisława
Budzisława
